id,transporter_1,transporter_2,transporter_3,transporter_4,transporter_5,transporter_6
1,"(55, 55, 16, 0)","(31, 31, 16, 1)","(28, 28, 16, 2)","(0, 0, 16, 3)","(3, 3, 16, 4)","(52, 52, 16, 5)"
1,"(55, 55, 17, 0)","(31, 31, 17, 1)","(28, 28, 17, 2)","(0, 0, 17, 3)","(3, 3, 17, 4)","(52, 52, 17, 5)"
1,"(55, 55, 18, 0)","(31, 31, 18, 1)","(28, 28, 18, 2)","(0, 0, 18, 3)","(3, 3, 18, 4)","(52, 52, 18, 5)"
1,"(55, 55, 19, 0)","(31, 31, 19, 1)","(28, 28, 19, 2)","(0, 0, 19, 3)","(3, 3, 19, 4)","(52, 52, 19, 5)"
1,"(55, 55, 20, 0)","(31, 31, 20, 1)","(28, 28, 20, 2)","(0, 0, 20, 3)","(3, 3, 20, 4)","(52, 52, 20, 5)"
1,"(55, 55, 21, 0)","(31, 31, 21, 1)","(28, 28, 21, 2)","(0, 0, 21, 3)","(3, 3, 21, 4)","(52, 52, 21, 5)"
1,"(55, 55, 22, 0)","(31, 31, 22, 1)","(28, 28, 22, 2)","(0, 0, 22, 3)","(3, 3, 22, 4)","(52, 52, 22, 5)"
1,"(55, 55, 23, 0)","(31, 31, 23, 1)","(28, 28, 23, 2)","(0, 0, 23, 3)","(3, 3, 23, 4)","(52, 52, 23, 5)"
1,"(55, 55, 24, 0)","(31, 31, 24, 1)","(28, 28, 24, 2)","(0, 0, 24, 3)","(3, 3, 24, 4)","(52, 52, 24, 5)"
1,"(55, 55, 25, 0)","(31, 31, 25, 1)","(28, 28, 25, 2)","(0, 0, 25, 3)","(3, 3, 25, 4)","(52, 52, 25, 5)"
1,"(55, 55, 26, 0)","(31, 31, 26, 1)","(28, 28, 26, 2)","(0, 0, 26, 3)","(3, 3, 26, 4)","(52, 52, 26, 5)"
1,"(55, 55, 27, 0)","(31, 31, 27, 1)","(28, 28, 27, 2)","(0, 0, 27, 3)","(3, 3, 27, 4)","(52, 52, 27, 5)"
1,"(55, 55, 28, 0)","(31, 31, 28, 1)","(28, 28, 28, 2)","(0, 0, 28, 3)","(3, 3, 28, 4)","(52, 52, 28, 5)"
1,"(55, 55, 29, 0)","(31, 31, 29, 1)","(28, 28, 29, 2)","(0, 0, 29, 3)","(3, 3, 29, 4)","(52, 52, 29, 5)"
1,"(55, 55, 30, 0)","(31, 31, 30, 1)","(28, 28, 30, 2)","(0, 0, 30, 3)","(3, 3, 30, 4)","(52, 52, 30, 5)"
1,"(55, 55, 31, 0)","(31, 31, 31, 1)","(28, 28, 31, 2)","(0, 0, 31, 3)","(3, 3, 31, 4)","(52, 52, 31, 5)"
1,"(55, 55, 32, 0)","(31, 31, 32, 1)","(28, 28, 32, 2)","(0, 0, 32, 3)","(3, 3, 32, 4)","(52, 52, 32, 5)"
1,"(55, 55, 33, 0)","(31, 31, 33, 1)","(28, 28, 33, 2)","(0, 0, 33, 3)","(3, 3, 33, 4)","(52, 52, 33, 5)"
1,"(55, 55, 34, 0)","(31, 31, 34, 1)","(28, 28, 34, 2)","(0, 0, 34, 3)","(3, 3, 34, 4)","(52, 52, 34, 5)"
1,"(55, 55, 35, 0)","(31, 31, 35, 1)","(28, 28, 35, 2)","(0, 0, 35, 3)","(3, 3, 35, 4)","(52, 52, 35, 5)"
1,"(55, 55, 36, 0)","(31, 31, 36, 1)","(28, 28, 36, 2)","(0, 0, 36, 3)","(3, 3, 36, 4)","(52, 52, 36, 5)"
1,"(55, 55, 37, 0)","(31, 31, 37, 1)","(28, 28, 37, 2)","(0, 0, 37, 3)","(3, 3, 37, 4)","(52, 52, 37, 5)"
1,"(55, 55, 38, 0)","(31, 31, 38, 1)","(28, 28, 38, 2)","(0, 0, 38, 3)","(3, 3, 38, 4)","(52, 52, 38, 5)"
1,"(55, 55, 39, 0)","(31, 31, 39, 1)","(28, 28, 39, 2)","(0, 0, 39, 3)","(3, 3, 39, 4)","(52, 52, 39, 5)"
1,"(55, 55, 40, 0)","(31, 31, 40, 1)","(28, 28, 40, 2)","(0, 0, 40, 3)","(3, 3, 40, 4)","(52, 52, 40, 5)"
1,"(55, 55, 41, 0)","(31, 31, 41, 1)","(28, 28, 41, 2)","(0, 0, 41, 3)","(3, 3, 41, 4)","(52, 52, 41, 5)"
1,"(55, 55, 42, 0)","(31, 31, 42, 1)","(28, 28, 42, 2)","(0, 0, 42, 3)","(3, 3, 42, 4)","(52, 52, 42, 5)"
1,"(55, 55, 43, 0)","(31, 31, 43, 1)","(28, 28, 43, 2)","(0, 0, 43, 3)","(3, 3, 43, 4)","(52, 52, 43, 5)"
1,"(55, 55, 44, 0)","(31, 31, 44, 1)","(28, 28, 44, 2)","(0, 0, 44, 3)","(3, 3, 44, 4)","(52, 52, 44, 5)"
1,"(55, 55, 45, 0)","(31, 31, 45, 1)","(28, 28, 45, 2)","(0, 0, 45, 3)","(3, 3, 45, 4)","(52, 52, 45, 5)"
1,"(55, 55, 46, 0)","(31, 31, 46, 1)","(28, 28, 46, 2)","(0, 0, 46, 3)","(3, 3, 46, 4)","(52, 52, 46, 5)"
1,"(55, 55, 47, 0)","(31, 31, 47, 1)","(28, 28, 47, 2)","(0, 0, 47, 3)","(3, 3, 47, 4)","(52, 52, 47, 5)"
1,"(55, 55, 48, 0)","(31, 31, 48, 1)","(28, 28, 48, 2)","(0, 0, 48, 3)","(3, 3, 48, 4)","(52, 52, 48, 5)"
1,"(55, 55, 49, 0)","(31, 31, 49, 1)","(28, 28, 49, 2)","(0, 0, 49, 3)","(3, 3, 49, 4)","(52, 52, 49, 5)"
1,"(55, 50, 50, 0)","(31, 31, 50, 1)","(28, 24, 50, 2)","(0, 1, 50, 3)","(3, 6, 50, 4)","(52, 49, 50, 5)"
1,"(50, 45, 51, 0)","(31, 30, 51, 1)","(24, 25, 51, 2)","(1, 5, 51, 3)","(6, 1, 51, 4)","(49, 46, 51, 5)"
1,"(45, 40, 52, 0)","(30, 34, 52, 1)","(25, 26, 52, 2)","(5, 6, 52, 3)","(1, 0, 52, 4)","(46, 46, 52, 5)"
1,"(40, 37, 53, 0)","(34, 33, 53, 1)","(26, 30, 53, 2)","(6, 2, 53, 3)","(0, 1, 53, 4)","(46, 50, 53, 5)"
1,"(37, 33, 54, 0)","(33, 32, 54, 1)","(30, 31, 54, 2)","(2, 3, 54, 3)","(1, 0, 54, 4)","(50, 55, 54, 5)"
1,"(33, 37, 55, 0)","(32, 33, 55, 1)","(31, 31, 55, 2)","(3, 3, 55, 3)","(0, 0, 55, 4)","(55, 55, 55, 5)"
1,"(37, 36, 56, 0)","(33, 37, 56, 1)","(31, 31, 56, 2)","(3, 3, 56, 3)","(0, 0, 56, 4)","(55, 55, 56, 5)"
1,"(36, 32, 57, 0)","(37, 36, 57, 1)","(31, 31, 57, 2)","(3, 3, 57, 3)","(0, 0, 57, 4)","(55, 55, 57, 5)"
1,"(32, 33, 58, 0)","(36, 40, 58, 1)","(31, 31, 58, 2)","(3, 3, 58, 3)","(0, 0, 58, 4)","(55, 55, 58, 5)"
1,"(33, 33, 59, 0)","(40, 44, 59, 1)","(31, 31, 59, 2)","(3, 3, 59, 3)","(0, 0, 59, 4)","(55, 55, 59, 5)"
1,"(33, 30, 60, 0)","(44, 48, 60, 1)","(31, 31, 60, 2)","(3, 3, 60, 3)","(0, 0, 60, 4)","(55, 55, 60, 5)"
1,"(30, 30, 61, 0)","(48, 52, 61, 1)","(31, 31, 61, 2)","(3, 3, 61, 3)","(0, 0, 61, 4)","(55, 55, 61, 5)"
1,"(30, 30, 62, 0)","(52, 52, 62, 1)","(31, 31, 62, 2)","(3, 3, 62, 3)","(0, 0, 62, 4)","(55, 55, 62, 5)"
1,"(30, 26, 63, 0)","(52, 52, 63, 1)","(31, 31, 63, 2)","(3, 3, 63, 3)","(0, 0, 63, 4)","(55, 55, 63, 5)"
1,"(26, 21, 64, 0)","(52, 52, 64, 1)","(31, 31, 64, 2)","(3, 3, 64, 3)","(0, 0, 64, 4)","(55, 55, 64, 5)"
1,"(21, 21, 65, 0)","(52, 52, 65, 1)","(31, 31, 65, 2)","(3, 3, 65, 3)","(0, 0, 65, 4)","(55, 55, 65, 5)"
1,"(21, 21, 66, 0)","(52, 52, 66, 1)","(31, 31, 66, 2)","(3, 3, 66, 3)","(0, 0, 66, 4)","(55, 55, 66, 5)"
1,"(21, 17, 67, 0)","(52, 52, 67, 1)","(31, 31, 67, 2)","(3, 3, 67, 3)","(0, 0, 67, 4)","(55, 55, 67, 5)"
1,"(17, 13, 68, 0)","(52, 52, 68, 1)","(31, 31, 68, 2)","(3, 3, 68, 3)","(0, 0, 68, 4)","(55, 55, 68, 5)"
1,"(13, 9, 69, 0)","(52, 52, 69, 1)","(31, 31, 69, 2)","(3, 3, 69, 3)","(0, 0, 69, 4)","(55, 55, 69, 5)"
1,"(9, 13, 70, 0)","(52, 52, 70, 1)","(31, 31, 70, 2)","(3, 3, 70, 3)","(0, 0, 70, 4)","(55, 55, 70, 5)"
1,"(13, 17, 71, 0)","(52, 52, 71, 1)","(31, 31, 71, 2)","(3, 3, 71, 3)","(0, 0, 71, 4)","(55, 55, 71, 5)"
1,"(17, 13, 72, 0)","(52, 52, 72, 1)","(31, 31, 72, 2)","(3, 3, 72, 3)","(0, 0, 72, 4)","(55, 55, 72, 5)"
1,"(13, 18, 73, 0)","(52, 52, 73, 1)","(31, 31, 73, 2)","(3, 3, 73, 3)","(0, 0, 73, 4)","(55, 55, 73, 5)"
1,"(18, 18, 74, 0)","(52, 52, 74, 1)","(31, 31, 74, 2)","(3, 3, 74, 3)","(0, 0, 74, 4)","(55, 55, 74, 5)"
1,"(18, 18, 75, 0)","(52, 52, 75, 1)","(31, 31, 75, 2)","(3, 3, 75, 3)","(0, 0, 75, 4)","(55, 55, 75, 5)"
1,"(18, 14, 76, 0)","(52, 52, 76, 1)","(31, 31, 76, 2)","(3, 3, 76, 3)","(0, 0, 76, 4)","(55, 55, 76, 5)"
1,"(14, 10, 77, 0)","(52, 52, 77, 1)","(31, 31, 77, 2)","(3, 3, 77, 3)","(0, 0, 77, 4)","(55, 55, 77, 5)"
1,"(10, 9, 78, 0)","(52, 52, 78, 1)","(31, 31, 78, 2)","(3, 3, 78, 3)","(0, 0, 78, 4)","(55, 55, 78, 5)"
1,"(9, 8, 79, 0)","(52, 52, 79, 1)","(31, 31, 79, 2)","(3, 3, 79, 3)","(0, 0, 79, 4)","(55, 55, 79, 5)"
1,"(8, 12, 80, 0)","(52, 52, 80, 1)","(31, 31, 80, 2)","(3, 3, 80, 3)","(0, 0, 80, 4)","(55, 55, 80, 5)"
1,"(12, 16, 81, 0)","(52, 52, 81, 1)","(31, 31, 81, 2)","(3, 3, 81, 3)","(0, 0, 81, 4)","(55, 55, 81, 5)"
1,"(16, 20, 82, 0)","(52, 52, 82, 1)","(31, 27, 82, 2)","(3, 6, 82, 3)","(0, 5, 82, 4)","(55, 50, 82, 5)"
1,"(20, 25, 83, 0)","(52, 52, 83, 1)","(27, 23, 83, 2)","(6, 9, 83, 3)","(5, 10, 83, 4)","(50, 45, 83, 5)"
1,"(25, 25, 84, 0)","(52, 52, 84, 1)","(23, 22, 84, 2)","(9, 14, 84, 3)","(10, 13, 84, 4)","(45, 40, 84, 5)"
1,"(25, 25, 85, 0)","(52, 52, 85, 1)","(22, 18, 85, 2)","(14, 19, 85, 3)","(13, 16, 85, 4)","(40, 37, 85, 5)"
1,"(25, 25, 86, 0)","(52, 52, 86, 1)","(18, 14, 86, 2)","(19, 22, 86, 3)","(16, 21, 86, 4)","(37, 34, 86, 5)"
1,"(25, 29, 87, 0)","(52, 52, 87, 1)","(14, 10, 87, 2)","(22, 27, 87, 3)","(21, 25, 87, 4)","(34, 31, 87, 5)"
1,"(29, 33, 88, 0)","(52, 52, 88, 1)","(10, 6, 88, 2)","(27, 30, 88, 3)","(25, 29, 88, 4)","(31, 26, 88, 5)"
1,"(33, 28, 89, 0)","(52, 49, 89, 1)","(6, 5, 89, 2)","(30, 35, 89, 3)","(29, 33, 89, 4)","(26, 23, 89, 5)"
1,"(28, 28, 90, 0)","(49, 46, 90, 1)","(5, 0, 90, 2)","(35, 38, 90, 3)","(33, 37, 90, 4)","(23, 18, 90, 5)"
1,"(28, 28, 91, 0)","(46, 43, 91, 1)","(0, 0, 91, 2)","(38, 42, 91, 3)","(37, 41, 91, 4)","(18, 15, 91, 5)"
1,"(28, 28, 92, 0)","(43, 38, 92, 1)","(0, 0, 92, 2)","(42, 46, 92, 3)","(41, 45, 92, 4)","(15, 11, 92, 5)"
1,"(28, 28, 93, 0)","(38, 35, 93, 1)","(0, 0, 93, 2)","(46, 50, 93, 3)","(45, 49, 93, 4)","(11, 7, 93, 5)"
1,"(28, 28, 94, 0)","(35, 30, 94, 1)","(0, 0, 94, 2)","(50, 55, 94, 3)","(49, 52, 94, 4)","(7, 3, 94, 5)"
1,"(28, 28, 95, 0)","(30, 25, 95, 1)","(0, 0, 95, 2)","(55, 55, 95, 3)","(52, 52, 95, 4)","(3, 3, 95, 5)"
1,"(28, 28, 96, 0)","(25, 30, 96, 1)","(0, 0, 96, 2)","(55, 55, 96, 3)","(52, 52, 96, 4)","(3, 3, 96, 5)"
1,"(28, 28, 97, 0)","(30, 25, 97, 1)","(0, 0, 97, 2)","(55, 55, 97, 3)","(52, 52, 97, 4)","(3, 3, 97, 5)"
1,"(28, 28, 98, 0)","(25, 20, 98, 1)","(0, 0, 98, 2)","(55, 55, 98, 3)","(52, 52, 98, 4)","(3, 3, 98, 5)"
1,"(28, 28, 99, 0)","(20, 17, 99, 1)","(0, 0, 99, 2)","(55, 55, 99, 3)","(52, 52, 99, 4)","(3, 3, 99, 5)"
1,"(28, 28, 100, 0)","(17, 14, 100, 1)","(0, 0, 100, 2)","(55, 55, 100, 3)","(52, 52, 100, 4)","(3, 3, 100, 5)"
1,"(28, 28, 101, 0)","(14, 17, 101, 1)","(0, 0, 101, 2)","(55, 55, 101, 3)","(52, 52, 101, 4)","(3, 3, 101, 5)"
1,"(28, 28, 102, 0)","(17, 20, 102, 1)","(0, 0, 102, 2)","(55, 55, 102, 3)","(52, 52, 102, 4)","(3, 3, 102, 5)"
1,"(28, 28, 103, 0)","(20, 25, 103, 1)","(0, 0, 103, 2)","(55, 55, 103, 3)","(52, 52, 103, 4)","(3, 3, 103, 5)"
1,"(28, 28, 104, 0)","(25, 22, 104, 1)","(0, 0, 104, 2)","(55, 55, 104, 3)","(52, 52, 104, 4)","(3, 3, 104, 5)"
1,"(28, 28, 105, 0)","(22, 27, 105, 1)","(0, 0, 105, 2)","(55, 55, 105, 3)","(52, 52, 105, 4)","(3, 3, 105, 5)"
1,"(28, 28, 106, 0)","(27, 22, 106, 1)","(0, 0, 106, 2)","(55, 55, 106, 3)","(52, 52, 106, 4)","(3, 3, 106, 5)"
1,"(28, 28, 107, 0)","(22, 19, 107, 1)","(0, 0, 107, 2)","(55, 55, 107, 3)","(52, 52, 107, 4)","(3, 3, 107, 5)"
1,"(28, 28, 108, 0)","(19, 14, 108, 1)","(0, 0, 108, 2)","(55, 55, 108, 3)","(52, 52, 108, 4)","(3, 3, 108, 5)"
1,"(28, 28, 109, 0)","(14, 9, 109, 1)","(0, 0, 109, 2)","(55, 55, 109, 3)","(52, 52, 109, 4)","(3, 3, 109, 5)"
1,"(28, 28, 110, 0)","(9, 4, 110, 1)","(0, 0, 110, 2)","(55, 55, 110, 3)","(52, 52, 110, 4)","(3, 3, 110, 5)"
1,"(28, 28, 111, 0)","(4, 9, 111, 1)","(0, 0, 111, 2)","(55, 55, 111, 3)","(52, 52, 111, 4)","(3, 3, 111, 5)"
1,"(28, 28, 112, 0)","(9, 14, 112, 1)","(0, 0, 112, 2)","(55, 55, 112, 3)","(52, 52, 112, 4)","(3, 3, 112, 5)"
1,"(28, 28, 113, 0)","(14, 17, 113, 1)","(0, 0, 113, 2)","(55, 55, 113, 3)","(52, 52, 113, 4)","(3, 3, 113, 5)"
1,"(28, 28, 114, 0)","(17, 20, 114, 1)","(0, 0, 114, 2)","(55, 55, 114, 3)","(52, 52, 114, 4)","(3, 3, 114, 5)"
1,"(28, 28, 115, 0)","(20, 25, 115, 1)","(0, 0, 115, 2)","(55, 55, 115, 3)","(52, 52, 115, 4)","(3, 3, 115, 5)"
1,"(28, 28, 116, 0)","(25, 30, 116, 1)","(0, 0, 116, 2)","(55, 55, 116, 3)","(52, 52, 116, 4)","(3, 3, 116, 5)"
1,"(28, 28, 117, 0)","(30, 25, 117, 1)","(0, 0, 117, 2)","(55, 55, 117, 3)","(52, 52, 117, 4)","(3, 3, 117, 5)"
1,"(28, 29, 118, 0)","(25, 28, 118, 1)","(0, 0, 118, 2)","(55, 55, 118, 3)","(52, 52, 118, 4)","(3, 3, 118, 5)"
1,"(29, 30, 119, 0)","(28, 28, 119, 1)","(0, 0, 119, 2)","(55, 55, 119, 3)","(52, 52, 119, 4)","(3, 3, 119, 5)"
1,"(30, 31, 120, 0)","(28, 28, 120, 1)","(0, 0, 120, 2)","(55, 55, 120, 3)","(52, 52, 120, 4)","(3, 3, 120, 5)"
1,"(31, 31, 121, 0)","(28, 28, 121, 1)","(0, 0, 121, 2)","(55, 55, 121, 3)","(52, 52, 121, 4)","(3, 3, 121, 5)"
1,"(31, 31, 122, 0)","(28, 28, 122, 1)","(0, 0, 122, 2)","(55, 55, 122, 3)","(52, 52, 122, 4)","(3, 3, 122, 5)"
1,"(31, 31, 123, 0)","(28, 28, 123, 1)","(0, 0, 123, 2)","(55, 55, 123, 3)","(52, 52, 123, 4)","(3, 3, 123, 5)"
1,"(31, 31, 124, 0)","(28, 28, 124, 1)","(0, 0, 124, 2)","(55, 55, 124, 3)","(52, 52, 124, 4)","(3, 3, 124, 5)"
1,"(31, 31, 125, 0)","(28, 28, 125, 1)","(0, 0, 125, 2)","(55, 55, 125, 3)","(52, 52, 125, 4)","(3, 3, 125, 5)"
1,"(31, 31, 126, 0)","(28, 28, 126, 1)","(0, 0, 126, 2)","(55, 55, 126, 3)","(52, 52, 126, 4)","(3, 3, 126, 5)"
1,"(31, 31, 127, 0)","(28, 28, 127, 1)","(0, 0, 127, 2)","(55, 55, 127, 3)","(52, 52, 127, 4)","(3, 3, 127, 5)"
1,"(31, 31, 128, 0)","(28, 28, 128, 1)","(0, 0, 128, 2)","(55, 55, 128, 3)","(52, 52, 128, 4)","(3, 3, 128, 5)"
1,"(31, 31, 129, 0)","(28, 28, 129, 1)","(0, 0, 129, 2)","(55, 55, 129, 3)","(52, 52, 129, 4)","(3, 3, 129, 5)"
1,"(31, 31, 130, 0)","(28, 28, 130, 1)","(0, 0, 130, 2)","(55, 55, 130, 3)","(52, 52, 130, 4)","(3, 3, 130, 5)"
1,"(31, 31, 131, 0)","(28, 28, 131, 1)","(0, 0, 131, 2)","(55, 55, 131, 3)","(52, 52, 131, 4)","(3, 3, 131, 5)"
1,"(31, 31, 132, 0)","(28, 28, 132, 1)","(0, 0, 132, 2)","(55, 55, 132, 3)","(52, 52, 132, 4)","(3, 3, 132, 5)"
1,"(31, 31, 133, 0)","(28, 28, 133, 1)","(0, 0, 133, 2)","(55, 55, 133, 3)","(52, 52, 133, 4)","(3, 3, 133, 5)"
1,"(31, 31, 134, 0)","(28, 28, 134, 1)","(0, 0, 134, 2)","(55, 55, 134, 3)","(52, 52, 134, 4)","(3, 3, 134, 5)"
1,"(31, 31, 135, 0)","(28, 28, 135, 1)","(0, 0, 135, 2)","(55, 55, 135, 3)","(52, 52, 135, 4)","(3, 3, 135, 5)"
1,"(31, 31, 136, 0)","(28, 28, 136, 1)","(0, 0, 136, 2)","(55, 55, 136, 3)","(52, 52, 136, 4)","(3, 7, 136, 5)"
1,"(31, 31, 137, 0)","(28, 28, 137, 1)","(0, 4, 137, 2)","(55, 55, 137, 3)","(52, 52, 137, 4)","(7, 3, 137, 5)"
1,"(31, 31, 138, 0)","(28, 28, 138, 1)","(4, 0, 138, 2)","(55, 55, 138, 3)","(52, 52, 138, 4)","(3, 3, 138, 5)"
1,"(31, 31, 139, 0)","(28, 28, 139, 1)","(0, 0, 139, 2)","(55, 55, 139, 3)","(52, 52, 139, 4)","(3, 3, 139, 5)"
